ASN-source,ASN,Name,Type,Bandwidth,Gb/s,Connectivity Type
AS4652,AS45265,CSL-IX,NIX,50,Gbps,IPv6 Dual Stack
AS4652,AS38081,TIG-IX,NIX,10,Gbps,IPv4
